wl (m),n,k
0.0000125,0.082,1.35E-06
1.27E-05,0.083,1.45E-06
1.28E-05,0.081,1.55E-06
0.000012987,0.08,1.67E-06
1.32E-05,0.079,1.80E-06
1.33E-05,0.079,1.94E-06
1.35E-05,0.08,2.09E-06
1.37E-05,0.091,2.25E-06
1.39E-05,0.105,2.41E-06
1.41E-05,0.114,2.59E-06
1.43E-05,0.114,2.80E-06
1.45E-05,0.117,3.05E-06
1.47E-05,0.135,3.32E-06
1.49E-05,0.172,3.62E-06
1.52E-05,0.243,4.01E-06
1.54E-05,0.369,4.51E-06
0.000015625,0.664,5.28E-06
0.000015873,1.672,4.37E-06
0.000016129,0.735,4.65E-06
1.64E-05,0.774,5.56E-06
1.67E-05,1.062,6.52E-06
1.69E-05,1.523,7.87E-06
1.72E-05,2.382,9.60E-06
1.75E-05,5.146,1.19E-05
1.79E-05,8.559,5.46E-06
1.82E-05,6.585,1.88E-06
1.85E-05,5.308,9.46E-07
1.89E-05,4.497,6.31E-07
1.92E-05,3.797,7.35E-07
1.96E-05,3.232,1.03E-06
0.00002,2.725,9.41E-07
2.04E-05,1.951,9.31E-07
2.08E-05,0.629,2.02E-06
2.13E-05,0.283,4.78E-06
2.17E-05,0.512,8.18E-06
2.22E-05,1.472,1.30E-05
2.27E-05,7.25,2.02E-05
2.33E-05,9.484,2.28E-06
2.38E-05,6.881,5.91E-07
2.44E-05,5.718,2.10E-07
0.000025,5.02,1.31E-07
0.000025641,3.879,1.24E-06
2.63E-05,5.677,2.75E-06
0.000027027,4.903,2.32E-07
2.78E-05,4.56,-1.53E-07
2.86E-05,4.279,-2.02E-07
2.94E-05,4.122,-1.01E-07
0.000030303,4,2.41E-08
0.00003125,3.893,1.14E-07
3.23E-05,3.803,4.88E-08
3.33E-05,3.723,3.45E-08
3.45E-05,3.667,2.11E-07
3.57E-05,3.646,2.19E-07
0.000037037,3.617,1.97E-07
3.85E-05,3.571,1.47E-07
0.00004,3.53,8.91E-08
4.17E-05,3.492,4.31E-08
4.35E-05,3.458,7.27E-08
4.55E-05,3.426,1.01E-07
0.000047619,3.398,1.06E-07
0.00005,3.372,7.16E-08
5.26E-05,3.348,3.77E-08
5.56E-05,3.326,4.86E-08
